Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA50,SMA200,EMA20,RSI14,MACD,MACD_Signal,MACD_Hist,BB_Mid,BB_Upper,BB_Lower,Ticker
2022-09-26 00:00:00-04:00,108.92186016687825,110.66745902933937,108.4320208046538,108.66358184814453,3987800,0.0,0.0,,,108.66358184814453,,0.0,0.0,0.0,,,,IBM
2022-09-27 00:00:00-04:00,109.18902251532386,110.39134727569142,107.83529535587347,108.423095703125,4117200,0.0,0.0,,,108.64067840576172,,-0.019184079944594146,-0.003836815988918829,-0.015347263955675317,,,,IBM
2022-09-28 00:00:00-04:00,108.34295543673635,109.75012408305571,106.70422575872162,109.33153533935547,4996400,0.0,0.0,,,108.70647430419922,,0.03847239911374345,0.004625027031613627,0.033847372082129824,,,,IBM
2022-09-29 00:00:00-04:00,108.52107764619791,109.20685273430664,107.3810953018845,108.32514190673828,3817700,0.0,0.0,,,108.67015693301246,,0.0029243251288590955,0.004284886651062721,-0.0013605615222036255,,,,IBM
2022-09-30 00:00:00-04:00,108.35187925653196,109.0376476338631,105.63550943532142,105.81362915039062,5346100,0.0,0.0,,,108.39810666800086,,-0.22530865157796143,-0.04163382099474211,-0.18367483058321932,,,,IBM
2022-10-03 00:00:00-04:00,107.01595955942376,108.8417103960627,106.517212133289,108.2182846069336,4261700,0.0,0.0,,,108.38098075742303,,-0.20973167495364464,-0.07525339178652263,-0.13447828316712201,,,,IBM
2022-10-04 00:00:00-04:00,109.3671626183696,111.90540560562697,109.11778553634598,111.77181243896484,4566100,0.0,0.0,,,108.70391710804606,,0.08833491925825854,-0.04253572957756639,0.13087064883582494,,,,IBM
2022-10-05 00:00:00-04:00,111.06822822943575,112.62679932099559,110.6407382494274,111.98555755615234,3212900,0.0,0.0,,,109.01645429357998,,0.3379071044790436,0.03355283723375561,0.30435426724528797,,,,IBM
2022-10-06 00:00:00-04:00,111.2196209977172,111.59368319130779,108.44981721173495,108.85950469970703,5074600,0.0,0.0,,,109.00150671321113,,0.28021833677911445,0.08288593714282738,0.19733239963628707,,,,IBM
2022-10-07 00:00:00-04:00,108.20936562438298,108.47655196114094,105.15456597734998,105.82252502441406,4499700,0.0,0.0,,,108.69874655237332,,-0.010438971975304412,0.06422095531920104,-0.07465992729450545,,,,IBM
2022-10-10 00:00:00-04:00,106.68640948929172,106.83781189455021,104.23722655371063,104.86956024169922,5990000,0.0,0.0,,,108.33406214183293,,-0.31406295469773227,-0.011435826684185621,-0.30262712801354663,,,,IBM
2022-10-11 00:00:00-04:00,104.61130423591396,106.18769157533593,104.14818889917407,104.91411590576172,4043100,0.0,0.0,,,108.00835297649282,,-0.5448116294445384,-0.1181109872362562,-0.42670064220828224,,,,IBM
2022-10-12 00:00:00-04:00,105.09223780323794,105.81363149855807,104.37974533748668,104.70927429199219,3338800,0.0,0.0,,,107.69415500654037,,-0.7357295901942393,-0.24163470782785285,-0.4940948823663865,,,,IBM
2022-10-13 00:00:00-04:00,103.40007348164107,108.78827992727122,102.91024085602216,108.46765899658203,5837500,0.0,0.0,,,107.76782205321099,49.5539613030166,-0.57711064180927,-0.3087298946241363,-0.26838074718513366,,,,IBM
2022-10-14 00:00:00-04:00,108.47655200967424,109.13560303385304,106.73094638644797,106.90907287597656,3762400,0.0,0.0,,,107.6860364172839,46.27035502557444,-0.5705914338430205,-0.36110220246791314,-0.20948923137510733,,,,IBM
2022-10-17 00:00:00-04:00,108.47654993212646,109.43840577783618,108.14702102893281,108.2271728515625,5458600,0.0,0.0,,,107.73757322054853,49.60176241840627,-0.4538337493914639,-0.3796485118526233,-0.0741852375388406,,,,IBM
